Company,Slug,Score,Source
Chipotle Mexican Grill,chipotle-mexican-grill,,a16z-speedrun
KAYAK,kayak,,a16z-speedrun
Astro Mechanica,astro-mechanica,,a16z-speedrun
Everlane,everlane,,a16z-speedrun
Farther Finance,farther-finance,,a16z-speedrun
Chanel,chanel,,a16z-speedrun
Chevron Corporation,chevron-corporation,,a16z-speedrun
Deutsche Bank,deutsche-bank,,a16z-speedrun
Rocket Lab USA,rocket-lab-usa,,a16z-speedrun
Applied Materials,applied-materials,,a16z-speedrun
Optiver,optiver,,a16z-speedrun
Standard Bots,standard-bots,,a16z-speedrun
The Mosaic Company,the-mosaic-company,,a16z-speedrun
Earnin,earnin,,a16z-speedrun
At-Bay,at-bay,,a16z-speedrun
Bird,bird,,a16z-speedrun
IMC Trading,imc-trading,,a16z-speedrun
Conagra Brands,conagra-brands,,a16z-speedrun
Pacific Fusion,pacific-fusion,,a16z-speedrun
Physical Intelligence,physical-intelligence,,a16z-speedrun
Jump Trading,jump-trading,,a16z-speedrun
Take-Two Interactive,take-two-interactive,,a16z-speedrun
Amentum,amentum,,a16z-speedrun
Honey Homes,honey-homes,,a16z-speedrun
Pivotal Health,pivotal-health,,a16z-speedrun
Solar Turbines,solar-turbines,,a16z-speedrun
The Boeing Company,the-boeing-company,,a16z-speedrun
Abbott,abbott,,a16z-speedrun
Periodic Labs,periodic-labs,,a16z-speedrun
Twenty,twenty,,a16z-speedrun
United Parcel Service,united-parcel-service,,a16z-speedrun
Air Space Intelligence,air-space-intelligence,,a16z-speedrun
Ardian,ardian,,a16z-speedrun
Caterpillar Inc.,caterpillar-inc,,a16z-speedrun
Mind Robotics,mind-robotics,,a16z-speedrun
Senra Systems,senra-systems,,a16z-speedrun
Sesame,sesame,,a16z-speedrun
Dentsu,dentsu,,a16z-speedrun
Enter,enter,,a16z-speedrun
Tenstorrent,tenstorrent,,a16z-speedrun
University of Virginia,university-of-virginia,,a16z-speedrun
Aptiv,aptiv,,a16z-speedrun
Jones Lang LaSalle,jones-lang-lasalle,,a16z-speedrun
Altos Labs,altos-labs,,a16z-speedrun
DRW,drw,,a16z-speedrun
mthree,mthree,,a16z-speedrun
National Laboratory of the Rockies,national-laboratory-of-the-rockies,,a16z-speedrun
CGS Federal,cgs-federal,,a16z-speedrun
Eikon Therapeutics,eikon-therapeutics,,a16z-speedrun
Redesign Health,redesign-health,,a16z-speedrun
Schweitzer Engineering Laboratories,schweitzer-engineering-laboratories,,a16z-speedrun
BlueScope,bluescope,,a16z-speedrun
Copart,copart,,a16z-speedrun
St. Luke's University Health Network,st-luke-s-university-health-network,,a16z-speedrun
BorgWarner,borgwarner,,a16z-speedrun
Dominion Dynamics,dominion-dynamics,,a16z-speedrun
Freeform,freeform,,a16z-speedrun
Glossier,glossier,,a16z-speedrun
Inferact,inferact,,a16z-speedrun
Jabil,jabil,,a16z-speedrun
KBR,kbr,,a16z-speedrun
Primer,primer,,a16z-speedrun
Ameren,ameren,,a16z-speedrun
Iambic Therapeutics,iambic-therapeutics,,a16z-speedrun
Neuralink,neuralink,,a16z-speedrun
Parsons,parsons,,a16z-speedrun
Reflect Orbital,reflect-orbital,,a16z-speedrun
Fifth Third Bank,fifth-third-bank,,a16z-speedrun
Standard Nuclear,standard-nuclear,,a16z-speedrun
Aurelius Systems,aurelius-systems,,a16z-speedrun
Cambridge Mobile Telematics,cambridge-mobile-telematics,,a16z-speedrun
Campus,campus,,a16z-speedrun
Scribd,scribd,,a16z-speedrun
Mercer University,mercer-university,,a16z-speedrun
Motorway,motorway,,a16z-speedrun
Rad AI,rad-ai,,a16z-speedrun
Rebag,rebag,,a16z-speedrun
Rune Technologies,rune-technologies,,a16z-speedrun
Setpoint.io,setpoint-io,,a16z-speedrun
The Honest Company,the-honest-company,,a16z-speedrun
Vox Media,vox-media,,a16z-speedrun
Brown Brothers Harriman,brown-brothers-harriman,,a16z-speedrun
Centific,centific,,a16z-speedrun
Evvy,evvy,,a16z-speedrun
Exowatt,exowatt,,a16z-speedrun
First Quality,first-quality,,a16z-speedrun
Nace.AI,nace-ai,,a16z-speedrun
Ophelia,ophelia,,a16z-speedrun
Point72,point72,,a16z-speedrun
Akuna Capital,akuna-capital,,a16z-speedrun
American University,american-university,,a16z-speedrun
Anine Bing,anine-bing,,a16z-speedrun
Dream Games,dream-games,,a16z-speedrun
DV Trading,dv-trading,,a16z-speedrun
EGenesis,egenesis,,a16z-speedrun
Ellipsis Health,ellipsis-health,,a16z-speedrun
Endra,endra,,a16z-speedrun
Guidehouse,guidehouse,,a16z-speedrun
Insitro,insitro,,a16z-speedrun
Nidec,nidec,,a16z-speedrun
UnitedMasters,unitedmasters,,a16z-speedrun
Virtu Financial,virtu-financial,,a16z-speedrun
Camber,camber,,a16z-speedrun
Character.AI,character-ai,,a16z-speedrun
General Intuition,general-intuition,,a16z-speedrun
PMG,pmg,,a16z-speedrun
State Street,state-street,,a16z-speedrun
Zuru,zuru,,a16z-speedrun
Airbound,airbound,,a16z-speedrun
Amyris,amyris,,a16z-speedrun
Bigger Games,bigger-games,,a16z-speedrun
Cylake,cylake,,a16z-speedrun
Modus,modus,,a16z-speedrun
Sage Care,sage-care,,a16z-speedrun
Salient,salient,,a16z-speedrun
